// TODO images
// entry: "location[#image]"
Pallet Town
Viridian city
Pewter City
Cerulean City
Vermilion City
Lavender Town
Celadon City
Saffron City
Fuchsia City
Cinnabar Island
Indigo Plateau
Route 1
Route 2
Route 3
Route 4
Route 5
Route 6
Route 7
Route 8
Route 9
Route 10
Route 11
Route 12
Route 13
Route 14
Route 15
Route 16
Route 17
Route 18
Sea Route 19
Sea Route 20
Sea Route 21
Route 22
Route 23
Route 24
Route 25
Viridian Forest
Mt.Moon
Rock Tunnel
Power Plant
Pokemon Tower
Diglett’s Cave
Safari Zone
Seafoam Islands
Pokemon Mansion
Victory Road
Cerulean Cave
SS Anne
Rocket Hideout
Silph Co
