//name,effect,power,type,accuracy,pp
//TODO effect is ignored for now
POUND,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35
KARATE_CHOP,NO_ADDITIONAL_EFFECT,50,NORMAL,100,25
DOUBLESLAP,TWO_TO_FIVE_ATTACKS_EFFECT,15,NORMAL,85,10
COMET_PUNCH,TWO_TO_FIVE_ATTACKS_EFFECT,18,NORMAL,85,15
MEGA_PUNCH,NO_ADDITIONAL_EFFECT,80,NORMAL,85,20
PAY_DAY,PAY_DAY_EFFECT,40,NORMAL,100,20
FIRE_PUNCH,BURN_SIDE_EFFECT1,75,FIRE,100,15
ICE_PUNCH,FREEZE_SIDE_EFFECT,75,ICE,100,15
THUNDERPUNCH,PARALYZE_SIDE_EFFECT1,75,ELECTRIC,100,15
SCRATCH,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35
VICEGRIP,NO_ADDITIONAL_EFFECT,55,NORMAL,100,30
GUILLOTINE,OHKO_EFFECT,1,NORMAL,30,5
RAZOR_WIND,CHARGE_EFFECT,80,NORMAL,75,10
SWORDS_DANCE,ATTACK_UP2_EFFECT,0,NORMAL,100,30
CUT,NO_ADDITIONAL_EFFECT,50,NORMAL,95,30
GUST,NO_ADDITIONAL_EFFECT,40,NORMAL,100,35
WING_ATTACK,NO_ADDITIONAL_EFFECT,35,FLYING,100,35
WHIRLWIND,SWITCH_AND_TELEPORT_EFFECT,0,NORMAL,85,20
FLY,FLY_EFFECT,70,FLYING,95,15
BIND,TRAPPING_EFFECT,15,NORMAL,75,20
SLAM,NO_ADDITIONAL_EFFECT,80,NORMAL,75,20
VINE_WHIP,NO_ADDITIONAL_EFFECT,35,GRASS,100,10
STOMP,FLINCH_SIDE_EFFECT2,65,NORMAL,100,20
DOUBLE_KICK,ATTACK_TWICE_EFFECT,30,FIGHTING,100,30
MEGA_KICK,NO_ADDITIONAL_EFFECT,120,NORMAL,75,5
JUMP_KICK,JUMP_KICK_EFFECT,70,FIGHTING,95,25
ROLLING_KICK,FLINCH_SIDE_EFFECT2,60,FIGHTING,85,15
SAND_ATTACK,ACCURACY_DOWN1_EFFECT,0,NORMAL,100,15
HEADBUTT,FLINCH_SIDE_EFFECT2,70,NORMAL,100,15
HORN_ATTACK,NO_ADDITIONAL_EFFECT,65,NORMAL,100,25
FURY_ATTACK,TWO_TO_FIVE_ATTACKS_EFFECT,15,NORMAL,85,20
HORN_DRILL,OHKO_EFFECT,1,NORMAL,30,5
TACKLE,NO_ADDITIONAL_EFFECT,35,NORMAL,95,35
BODY_SLAM,PARALYZE_SIDE_EFFECT2,85,NORMAL,100,15
WRAP,TRAPPING_EFFECT,15,NORMAL,85,20
TAKE_DOWN,RECOIL_EFFECT,90,NORMAL,85,20
THRASH,THRASH_PETAL_DANCE_EFFECT,90,NORMAL,100,20
DOUBLE_EDGE,RECOIL_EFFECT,100,NORMAL,100,15
TAIL_WHIP,DEFENSE_DOWN1_EFFECT,0,NORMAL,100,30
POISON_STING,POISON_SIDE_EFFECT1,15,POISON,100,35
TWINEEDLE,TWINEEDLE_EFFECT,25,BUG,100,20
PIN_MISSILE,TWO_TO_FIVE_ATTACKS_EFFECT,14,BUG,85,20
LEER,DEFENSE_DOWN1_EFFECT,0,NORMAL,100,30
BITE,FLINCH_SIDE_EFFECT1,60,NORMAL,100,25
GROWL,ATTACK_DOWN1_EFFECT,0,NORMAL,100,40
ROAR,SWITCH_AND_TELEPORT_EFFECT,0,NORMAL,100,20
SING,SLEEP_EFFECT,0,NORMAL,55,15
SUPERSONIC,CONFUSION_EFFECT,0,NORMAL,55,20
SONICBOOM,SPECIAL_DAMAGE_EFFECT,1,NORMAL,90,20
